Name,Url,id,Description,EggValue,Type
9,1) Animals,,,,1
43_Pork-01,1) Animals,,,,1
50_Cat-01,1) Animals,,,,1
a16,1) Animals,,,,1
a17,1) Animals,,,,1
celebi,1) Animals,,,,1
Charisard,1) Animals,,,,1
Face9,1) Animals,,,,1
Face10,1) Animals,,,,1
Face23,1) Animals,,,,1
Face31,1) Animals,,,,1
Face32,1) Animals,,,,1
Face33,1) Animals,,,,1
Face35,1) Animals,,,,1
Face54,1) Animals,,,,1
Gyrados256,1) Animals,,,,1
Magikcarp,1) Animals,,,,1
Pika,1) Animals,,,,1
platypus,1) Animals,,,,1
Snake Eater-44,1) Animals,,,,1
Snake Eater-45,1) Animals,,,,1
Snake Eater-46,1) Animals,,,,1
Snake Eater-47,1) Animals,,,,1
Snake Eater-48,1) Animals,,,,1
tiger,1) Animals,,,,1
5,2) Characters,,,,2
9,2) Characters,,,,2
a1,2) Characters,,,,2
a4,2) Characters,,,,2
a7,2) Characters,,,,2
a19,2) Characters,,,,2
a20,2) Characters,,,,2
Batman,2) Characters,,,,2
deadpool,2) Characters,,,,2
hellboy,2) Characters,,,,2
luigi,2) Characters,,,,2
Mario,2) Characters,,,,2
skull,2) Characters,,,,2
Snake Eater-34,2) Characters,,,,2
Snake Faces Slither-02,2) Characters,,,,2
Snake Faces Slither-05,2) Characters,,,,2
Symbol 60001,2) Characters,,,,2
Torchman,2) Characters,,,,2
Wolverine,2) Characters,,,,2
WonderWoman,2) Characters,,,,2
Angry,3) Faces,,,,3
Cool,3) Faces,,,,3
Crazy,3) Faces,,,,3
Face1,3) Faces,,,,3
Face2,3) Faces,,,,3
Face5,3) Faces,,,,3
Face6,3) Faces,,,,3
Face8,3) Faces,,,,3
Funny,3) Faces,,,,3
Shocked,3) Faces,,,,3
Smile,3) Faces,,,,3
Sup,3) Faces,,,,3
Arge,4) Flags,,,,4
Colomb,4) Flags,,,,4
f1 brazil,4) Flags,,,,4
f2 Canada,4) Flags,,,,4
f3 Cuba,4) Flags,,,,4
f4 France,4) Flags,,,,4
f5 Germani,4) Flags,,,,4
f6 Greece,4) Flags,,,,4
f7 Italy,4) Flags,,,,4
f8 mexico,4) Flags,,,,4
f9 Polonia,4) Flags,,,,4
f10 Portugal,4) Flags,,,,4
f11 Russia,4) Flags,,,,4
f12 Spain,4) Flags,,,,4
f13 Turkey,4) Flags,,,,4
indonesia,4) Flags,,,,4
Japan,4) Flags,,,,4
Malasya,4) Flags,,,,4
Pakistan,4) Flags,,,,4
Philipines,4) Flags,,,,4
SouthKor,4) Flags,,,,4
Swe,4) Flags,,,,4
UK,4) Flags,,,,4
USA,4) Flags,,,,4
1. naruto,eggs,,,20,6
2. saitama,eggs,,,10,6
3. luffy,eggs,,,20,6
4. kilua,eggs,,,10,6
5. tanjiro,eggs,,,10,6
6-10-02,eggs,,,15,6
6-10-03,eggs,,,,6
6-10-05,eggs,,,,6
souperman,eggs,,,10,6
spiderman,eggs,,,50,6
Hat-boy,hats,,,,7
Hat-Mexican,hats,,,,7
corona-b,Pros,PREFS_FIRST_KILL,Kill first snake,,5
duck,Pros,PREFS_FIVE_KILL,Kill 5 snakes,,5
genie,Pros,PREFS_TEN_KILL,Kill 10 snakes,,5
jasmine,Pros,PREFS_HUNDRED_KILL,Kill 100 snakes,,5
king pink bear,Pros,PREFS_EDIT_SNAKE,Change snake color,,5
skeleton,Pros,PREFS_SOCIAL_MEDIA,Share your first score,,5
stitch_red1,Pros,PREFS_TWO_HUNDRED_POINTS,Get 200 points,,5
sully,Pros,PREFS_ONE_LAKH_POINTS,Get 100000 points,,5
trex_c,Pros,PREFS_SECOND_PLAY,Play the game second time,,5
tyrx_1,Pros,PREFS_BUY_TRANSPARENCY,Purchase Transparency,,5
,,,,,
,,,,,
,,,,,
,,,,,
